parameter_name,Periphery distance travelled
gene_accession_id,MGI:894679
mouse_strain,C57BL
parameter_id,JAX_OFD_010_001
pvalue,0.2445488
mouse_life_stage,Early adult
analysis_id,2rlp6xrx7iir2x8
gene_symbol,Bach2
