analysis_id,t9h3wz7t3x16e45
mouse_strain,129SV
pvalue,0.7489856
gene_symbol,Arpc2
parameter_id,IMPC_ACS_006_001
gene_accession_id,MGI:1923959
parameter_name,Response amplitude - S
mouse_life_stage,Early adult
