parameter_name,Click-evoked ABR threshold
mouse_strain,C57BL
analysis_id,386ks620m6276f7
gene_accession_id,MGI:104805
gene_symbol,Snrpb2
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_002_001
pvalue,0.2995742
