gene_symbol,Mms22l
gene_accession_id,MGI:2684980
parameter_id,MGP_PBI_018_001
parameter_name,Ly6Clow monocyte percentage
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,t3i6c12g48k886d
pvalue,0.104027
