analysis_id,ush5od59lv2bpcv
gene_accession_id,MGI:1336200
mouse_strain,C57BL
pvalue,0.3272707
mouse_life_stage,Early adult
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_symbol,Hpca
parameter_id,MGP_IMM_007_001
