parameter_name,Right kidney weight
analysis_id,67id6u4v7i997g4
gene_accession_id,MGI:103302
pvalue,0.0514539
gene_symbol,Bmp7
mouse_strain,C57BL
parameter_id,IMPC_OWT_004_001
mouse_life_stage,Early adult
