parameter_id,HRWLLA_CSD_008_001
gene_symbol,Cpa3
parameter_name,Coat - color pattern - back
gene_accession_id,MGI:88479
analysis_id,q1r93fq228i90ra
mouse_strain,C57BL
pvalue,0.4378816
mouse_life_stage,Early adult
