gene_symbol,Sgip1
parameter_name,Total NK cells - % of CD45+
gene_accession_id,MGI:1920344
mouse_strain,C57BL
pvalue,0.393121
mouse_life_stage,Early adult
parameter_id,MGP_IMM_033_001
analysis_id,jzbxde0oq7ek729
