analysis_id,8i30d3y2637j033
gene_symbol,Ppm1j
pvalue,0.8213801
parameter_id,IMPC_EYE_027_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Persistence of hyaloid vascular system
gene_accession_id,MGI:1919137
