parameter_id,TCPLA_CSD_030_001
analysis_id,5q4a1b2b316l1zh
gene_symbol,Cds2
parameter_name,Tremor
mouse_strain,C57BL
gene_accession_id,MGI:1332236
pvalue,0.7476853
mouse_life_stage,Early adult
