gene_symbol,Casq1
pvalue,0.4347124
gene_accession_id,MGI:1309468
parameter_name,Coat - color pattern - back
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,0vx8b3o1v5s10n0
parameter_id,HRWLLA_CSD_008_001
