gene_symbol,Traf6
parameter_name,6kHz-evoked ABR Threshold
mouse_strain,C57BL
parameter_id,IMPC_ABR_004_001
analysis_id,2b3km273q922r32
mouse_life_stage,Early adult
pvalue,0.7204673
gene_accession_id,MGI:108072
