Gene_symbol,Amigo1
Analysis_id,yv46zzu90e12t10
Parameter_name,Retina (combined)
Gene_accession_id,MGI:2653612
Parameter_id,JAXLA_EYE_092_001
Mouse_life_stage,Early adult
Pvalue,0.4539849
Mouse_strain,C57BL
