parameter_name,Lean/Body weight
gene_symbol,Trdmt1
gene_accession_id,MGI:1274787
mouse_strain,C57BL
parameter_id,ESLIM_005_001_702
mouse_life_stage,Early adult
analysis_id,9t4p77xw70w901t
pvalue,0.2416869
