parameter_name,Lens Opacity
parameter_id,UCDLA_EYE_017_001
gene_symbol,Rab17
pvalue,0.4807966
gene_accession_id,MGI:104640
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,ap10s223j8516y4
