analysis_id,67yqm1a6n34o58b
gene_accession_id,MGI:88174
mouse_strain,C57BL
parameter_id,IMPC_CBC_001_001
gene_symbol,Bmi1
parameter_name,Sodium
pvalue,0.824665
mouse_life_stage,E15.5
