gene_symbol,Psmd14
mouse_strain,C57BL
parameter_name,Center permanence time
parameter_id,IMPC_OFD_016_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1913284
pvalue,0.4095497
analysis_id,g9vy57120124dxh
