gene_symbol,Bcs1l
parameter_id,IMPC_ECG_028_001
analysis_id,7889g3o30nk7238
parameter_name,QT
gene_accession_id,MGI:1914071
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1028497
