parameter_id,IMPC_HEM_038_001
parameter_name,Basophil differential count
mouse_life_stage,Early adult
pvalue,0.6441513
gene_accession_id,MGI:1919137
gene_symbol,Ppm1j
mouse_strain,C57BL
analysis_id,t41b2jb5o19st7o
