analysis_id,ld1s7a2d8otw79q
mouse_life_stage,Early adult
pvalue,0.3742622
parameter_id,IMPC_GPO_002_001
gene_accession_id,MGI:1888742
gene_symbol,Extl1
mouse_strain,C57BL
parameter_name,Placenta Morphology
