parameter_name,Aggression
gene_accession_id,MGI:1914071
analysis_id,0rte57vntbir1ut
mouse_strain,C57BL
parameter_id,IMPC_CSD_079_001
gene_symbol,Bcs1l
mouse_life_stage,E12.5
pvalue,0.5384345
