parameter_name,Number of centre entries
analysis_id,4z81i49x14499xg
pvalue,0.1503415
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
mouse_strain,B6J
gene_symbol,Nr0b2
parameter_id,ESLIM_007_001_015
