parameter_id,HRWLLA_DXA_007_001
gene_symbol,Rab22a
parameter_name,BMC/Body weight
analysis_id,29ut2x5aky2nlk8
gene_accession_id,MGI:105072
pvalue,0.3340193
mouse_strain,C57BL
mouse_life_stage,Early adult
