gene_symbol,Zc2hc1a
pvalue,0.198102
parameter_name,Eye
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,64nudl5ymskqrxb
parameter_id,IMPC_EYE_001_001
gene_accession_id,MGI:1914556
