analysis_id,m33pc8xrzl5jy01
gene_accession_id,MGI:2385884
parameter_name,Forelimb and hindlimb grip strength measurement mean
mouse_life_stage,Early adult
pvalue,0.2402612
mouse_strain,C57BL
parameter_id,IMPC_GRS_009_001
gene_symbol,Ddx27
