analysis_id,jv9k66w975va807
parameter_id,MGP_PBI_034_001
parameter_name,B cell number
pvalue,0.3731375
mouse_strain,C57BL
gene_symbol,Opn3
gene_accession_id,MGI:1338022
mouse_life_stage,Early adult
