parameter_name,DN NKT cells
pvalue,0.8566787
gene_symbol,Wars2
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_accession_id,MGI:1917810
parameter_id,IMPC_IMM_013_001
analysis_id,712650b576dp8rc
