analysis_id,rpz57ji81q39k8c
mouse_strain,C57BL
gene_accession_id,MGI:1913483
parameter_name,Retina (combined)
pvalue,0.8409817
mouse_life_stage,Early adult
gene_symbol,Dmap1
parameter_id,IMPC_EYE_092_001
