analysis_id,7qa5ecnx5fjgo5s
pvalue,0.3349704
parameter_id,IMPC_CSD_079_001
gene_accession_id,MGI:88174
parameter_name,Aggression
gene_symbol,Bmi1
mouse_strain,C57BL
mouse_life_stage,Early adult
