gene_symbol,Inpp1
pvalue,0.7198482
parameter_id,IMPC_ABR_004_001
mouse_life_stage,Early adult
parameter_name,6kHz-evoked ABR Threshold
analysis_id,2skz817y7k9x15f
mouse_strain,129SV
gene_accession_id,MGI:104848
