pvalue,6.661338e-16
parameter_id,IMPC_CBC_005_001
gene_accession_id,MGI:2670995
gene_symbol,Trp53i11
parameter_name,Creatinine
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,8997mw173n206f1
