gene_symbol,Mapkap1
mouse_life_stage,Early adult
pvalue,0.5089809
gene_accession_id,MGI:2444554
analysis_id,1ocqgc3a0ca4n96
mouse_strain,C57BL
parameter_id,IMPC_GEL_060_001
parameter_name,Neural tube morphology
