analysis_id,0w84o8u6x2wfym7
parameter_name,Transitional B Cells (CD21/35 low)
gene_accession_id,MGI:1917810
parameter_id,IMPC_IMM_069_001
mouse_life_stage,E9.5
pvalue,0.07484749
gene_symbol,Wars2
mouse_strain,C57BL
