mouse_strain,C57BL
analysis_id,05wjw8f85m22550
parameter_id,IMPC_OFD_020_001
gene_accession_id,MGI:103302
pvalue,0.3496707
gene_symbol,Bmp7
mouse_life_stage,Early adult
parameter_name,Distance travelled - total
