analysis_id,if1ck6ypvu0o128
parameter_id,MGP_IMM_006_001
gene_accession_id,MGI:1338022
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.1769714
gene_symbol,Opn3
mouse_life_stage,Early adult
mouse_strain,C57BL
