parameter_id,JAX_ROT_002_001
gene_symbol,Cds2
mouse_strain,129SV
pvalue,0.424141
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
analysis_id,44p0w1842393ne9
parameter_name,Average duration
