parameter_name,CV
pvalue,0.1836611
mouse_strain,C57BL
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
analysis_id,3s2eax841p60op9
mouse_life_stage,Middle aged adult
parameter_id,IMPC_ECG_003_001
