analysis_id,767x9l6rh2p5gnv
gene_symbol,Lpgat1
parameter_name,% Pre-pulse inhibition - PPI2
mouse_life_stage,Middle aged adult
parameter_id,IMPC_ACS_034_001
gene_accession_id,MGI:2446186
pvalue,0.4495218
mouse_strain,C57BL
