parameter_name,Snout size
mouse_strain,C57BL
pvalue,0.6690524
parameter_id,MGP_CSD_067_001
analysis_id,d1u7110155qxj8v
mouse_life_stage,E9.5
gene_symbol,Wars2
gene_accession_id,MGI:1917810
