parameter_name,Ly6Clow monocyte number
gene_accession_id,MGI:104848
pvalue,0.7587315
analysis_id,lc0ib2vy02zn658
mouse_life_stage,Early adult
gene_symbol,Inpp1
parameter_id,MGP_PBI_038_001
mouse_strain,129SV
