analysis_id,df6n7948591884q
pvalue,0.1837899
mouse_strain,C57BL
gene_accession_id,MGI:1929242
parameter_name,Bone Mineral Density (excluding skull)
gene_symbol,Ivd
parameter_id,IMPC_DXA_004_001
mouse_life_stage,Early adult
