parameter_id,IMPC_GRS_011_001
pvalue,0.7837422
analysis_id,5599eb2qf52zfa4
gene_accession_id,MGI:1920344
gene_symbol,Sgip1
mouse_life_stage,Early adult
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_strain,C57BL
