analysis_id,4r6e3qfvu06pw1u
pvalue,0.4860875
mouse_strain,C57BL
gene_symbol,Lpgat1
parameter_id,JAX_OFD_014_001
mouse_life_stage,Late adult
gene_accession_id,MGI:2446186
parameter_name,Center distance travelled
