analysis_id,219467e40b428i4
gene_symbol,Arpc5l
mouse_life_stage,Early adult
gene_accession_id,MGI:1921442
parameter_name,UIBC (unsaturated iron binding capacity)
mouse_strain,C57BL
parameter_id,IMPC_CBC_024_001
pvalue,0.5803602
