parameter_id,IMPC_GPP_004_001
mouse_strain,C57BL
parameter_name,Placenta Size
gene_accession_id,MGI:1913576
analysis_id,14944f51ytj7z29
mouse_life_stage,Early adult
gene_symbol,Dnajc5b
pvalue,0.4903723
