gene_symbol,Slc39a10
mouse_life_stage,Early adult
pvalue,0.1200076
parameter_name,Basophil differential count
mouse_strain,C57BL
analysis_id,w15s85628l0ejn2
gene_accession_id,MGI:1914515
parameter_id,IMPC_HEM_038_001
