gene_symbol,Sdcbp2
gene_accession_id,MGI:2385156
parameter_name,Center permanence time
pvalue,0.8416341
parameter_id,JAX_OFD_016_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,psa2u39ygw9r926
