analysis_id,z5s0ntgpvcxg4k9
gene_symbol,Wars2
parameter_name,Distance travelled - total
gene_accession_id,MGI:1917810
parameter_id,JAXLA_OFD_020_001
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.1903758
