parameter_name,Dark side time spent
gene_symbol,Bmi1
mouse_strain,C57BL
parameter_id,JAX_LDT_004_001
gene_accession_id,MGI:88174
analysis_id,65u61bkrgx89m5g
pvalue,0.6232313
mouse_life_stage,Early adult
