parameter_name,Upper teeth appearance
parameter_id,IMPC_CSD_069_001
gene_symbol,Toporsl
gene_accession_id,MGI:1915524
mouse_strain,C57BL
pvalue,0.3960599
analysis_id,8fd59161919u6b6
mouse_life_stage,Early adult
