analysis_id,l00oypsf8utd193
gene_symbol,Slc17a9
parameter_name,Hindlimb digit - size
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_047_001
gene_accession_id,MGI:1919107
mouse_strain,C57BL
pvalue,0.2749817
