parameter_name,Narrow eye opening
analysis_id,46fv8t81g01gba9
parameter_id,IMPC_EYE_006_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1100913
gene_accession_id,MGI:3616086
gene_symbol,Kcng1
