parameter_name,Basophil differential count
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:1914071
parameter_id,IMPC_HEM_038_001
pvalue,0.9202418
gene_symbol,Bcs1l
analysis_id,8651rlr5g510546
