analysis_id,47uesz82j97648n
parameter_name,Fat mass
mouse_strain,C57BL
pvalue,0.9917639
gene_accession_id,MGI:1918345
mouse_life_stage,Early adult
gene_symbol,Kif24
parameter_id,IMPC_DXA_002_001
