gene_symbol,Usp37
mouse_life_stage,Early adult
gene_accession_id,MGI:2442483
parameter_id,TCPLA_GRS_011_001
mouse_strain,C57BL
analysis_id,7aw96ff12rr8s69
pvalue,0.09263945
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
