analysis_id,2n0y7dw2qd6l6uv
gene_accession_id,MGI:1345282
parameter_id,IMPC_EYE_092_001
mouse_life_stage,Late adult
gene_symbol,SLC30A4
parameter_name,Retina (combined)
pvalue,0.4599517
mouse_strain,C57BL
