parameter_name,Click-evoked ABR threshold
pvalue,0.1502896
gene_accession_id,MGI:1914309
mouse_life_stage,Early adult
gene_symbol,Ola1
mouse_strain,C57BL
analysis_id,xit4sjdza45fz5v
parameter_id,IMPC_ABR_002_001
