analysis_id,tuj06r4f9473s96
mouse_life_stage,Early adult
pvalue,0.2750895
gene_symbol,Lpgat1
parameter_name,Total protein
parameter_id,IMPC_CBC_006_001
gene_accession_id,MGI:2446186
mouse_strain,C57BL
