parameter_id,IMPC_XRY_024_001
mouse_life_stage,Early adult
analysis_id,47a86r2k9v9ak0n
parameter_name,Femur
mouse_strain,C57BL
gene_accession_id,MGI:1922082
gene_symbol,Slc45a3
pvalue,0.8805703
