analysis_id,co52q38i3816os9
gene_symbol,Lpgat1
parameter_id,IMPC_ECH_003_001
pvalue,0.9911249
mouse_life_stage,Middle aged adult
parameter_name,Stroke Volume
mouse_strain,C57BL
gene_accession_id,MGI:2446186
