parameter_id,IMPC_GEO_048_002
gene_symbol,Trp53rkb
mouse_life_stage,Early adult
analysis_id,0gj93t4sxpag89e
gene_accession_id,MGI:1914050
mouse_strain,C57BL
pvalue,0.5160871
parameter_name,Anophthalmia
