parameter_name,Phosphorus
analysis_id,fzc5p3vgq4yx49p
mouse_life_stage,Early adult
mouse_strain,C3H
pvalue,0.4755438
gene_accession_id,MGI:95457
gene_symbol,Mecom
parameter_id,IMPC_CBC_010_001
