analysis_id,v9n0drr7hg11j45
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Usp37
pvalue,0.472079
parameter_id,MGP_IMM_028_001
gene_accession_id,MGI:2442483
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
