analysis_id,v1739i78574j707
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ESLIM_008_001_013
pvalue,0.4829801
parameter_name,Startle response
gene_accession_id,MGI:104848
gene_symbol,Inpp1
